wkt_geom,Station,Name,lat,lon,Elevation,Basin_Area
Point (27.45720000000000027 39.20280000000000342),D04A053,ILICA D. SARICALAR,39.2028,27.4572,90,150
Point (27.47530000000000072 39.13309999999999889),D04A051,CUMALI D. CUMALI,39.1331,27.4753,115,84
Point (27.47919999999999874 39.136099999999999),D04A051,CUMALI D. CUMALI,39.1361,27.4792,115,84
Point (26.68639999999999901 39.90220000000000056),D04A039,BEZİRGANLAR ÇAYI KAYSER,39.9022,26.6864,140,85
Point (26.83030000000000115 39.58780000000000143),D04A042,MANASTIR ÇAYI KAVLAKLAR,39.5878,26.8303,55,32
Point (26.95309999999999917 39.61690000000000111),D04A036,ZEYTİNLI ÇAYI ZEYTİNLI,39.6169,26.9531,35,123
Point (26.79329999999999856 39.26689999999999969),D04A038,KARAKOÇ D. BOĞAZBAHÇE,39.2669,26.7933,27,46.21
Point (27.06940000000000168 38.75330000000000297),D04A045,HİMMETDERE ÇITAK,38.7533,27.0694,170,7
Point (27.75329999999999941 39.19140000000000157),D04A046,AKÇAY AYDINCIK,39.1914,27.7533,248,48
Point (28.20749999999999957 38.42190000000000083),D04A043,ÇANDERE KINIK,38.4219,28.2075,120,69
Point (26.96389999999999887 39.10719999999999885),D04A044,GEYİKLİDERE MAZILI,39.1072,26.9639,59,74
Point (27.14859999999999829 39.16360000000000241),D04A063,KÖMÜRCÜ DERESİ MUSTAFAAĞA KONAĞI,39.1636,27.1486,128,36.3
Point (27.30859999999999843 38.85560000000000258),D04A064,KOCAÇAY SÜNGÜLLÜ,38.8556,27.3086,310,109.05
Point (27.11580000000000013 38.89390000000000214),D04A059,TÜLÜNTÜ D. BAHÇEDERE,38.8939,27.1158,92,14
Point (27.32860000000000156 39.21110000000000184),D04A060,YORTANLI ÇAYI PAŞAKÖY,39.2111,27.3286,70,24
Point (27.11530000000000129 39.61140000000000327),D04A068,KALABAK Ç. KALABAK,39.6114,27.1153,116,34
Point (26.75779999999999959 39.58440000000000225),D04A069,ŞAHİN D. ŞAHİN,39.5844,26.7578,35,54
Point (26.6941999999999986 39.64809999999999945),D04A065,MIHLI ÇAYI DARIDERE,39.6481,26.6942,595,33.33
Point (26.72329999999999828 39.91140000000000043),D04A066,TUZLA Ç. AYVACIK BRJ. ÇIKIŞI,39.9114,26.7233,176,155
Point (27.22970000000000113 39.05669999999999931),D04A054,KOCADERE MUSACALI,39.0567,27.2297,90,52
Point (27.16750000000000043 39.57139999999999702),D04A055,HAVRAN ÇAYI HAVRAN BARAJ ÇIKIŞI,39.5714,27.1675,77,187
Point (27.45670000000000144 39.21750000000000114),D04A053,ILICA D. SARICALAR,39.2175,27.4567,90,150
Point (27.22939999999999827 39.029200000000003),D04A054,KOCADERE MUSACALI,39.0292,27.2294,90,52
Point (27.4488999999999983 39.06860000000000355),D04A058,KARADERE KOCAÖMERLİ,39.0686,27.4489,94,182
Point (27.44920000000000115 39.06940000000000168),D04A058,KARADERE KOCAÖMERLİ,39.0694,27.4492,94,182
Point (26.83030000000000115 39.23329999999999984),D04A056,MADRA ÇAYI MADRA BARAJ ÇIKIġI,39.2333,26.8303,37,420
Point (27.6988999999999983 39.26059999999999661),D04A057,KEÇĠKAYA D. EVCĠLER,39.2606,27.6989,280,22
Point (28.24670000000000059 39.30689999999999884),D03A140,UMURLAR ÇAYI YUSUFÇAMI,39.3069,28.2467,38,12
Point (28.00219999999999843 39.28719999999999857),D03A141,EĞRİ DERE GÖLCÜK (SINDIRGI),39.2872,28.0022,275,39.92
Point (27.96890000000000143 40.07529999999999859),D03A136,KOCAÇAY KAYACA,40.0753,27.9689,20.34,2308.8
Point (29.20189999999999841 39.99439999999999884),D03A139,Nilüfer Ç. Barakli,39.9944,29.2019,54,111
Point (28.43969999999999843 39.9258000000000024),D03A144,SARP DERE AKARCA,39.9258,28.4397,165,43.24
Point (28.54810000000000159 40.01749999999999829),D03A145,DEĞİRMEN KANALI GÜLLER DERESİ,40.0175,28.5481,161,39.3
Point (29.26249999999999929 39.65279999999999916),D03A142,UZUNDERE ARTTIRANLAR,39.6528,29.2625,812,23
Point (29.2505999999999986 39.64999999999999858),D03A143,TAġKISLA D. ARTTIRANLAR,39.65,29.2506,792,15
Point (28.12000000000000099 39.45810000000000173),D03A128,SİMAV ÇAYI KADİKÖY KÖPRÜSÜ,39.4581,28.12,13,2271
Point (28.63719999999999999 39.50419999999999732),D03A129,DURSUNBEY ÇAYI AŞAĞIYAĞCILAR,39.5042,28.6372,425,466
Point (28.73140000000000072 39.6991999999999976),D03A125,EMET Ç. DÜĞÜNCÜLER,39.6992,28.7314,261,4365
Point (28.54810000000000159 40.01749999999999829),D03A126,SÖGÜTALAN D. GÜLLER,40.0175,28.5481,161,39
Point (29.29830000000000112 40.25529999999999831),D03A133,Narli D. Narlidere Köprü,40.2553,29.2983,252,43
Point (28.16110000000000113 39.58670000000000044),D03A135,DOMBAY DERESİ DEDEKAŞI,39.5867,28.1611,147,238
Point (28.20139999999999958 39.58140000000000214),D03A130,KİLLİ ÇAYI SARİÇAYIR,39.5814,28.2014,139,727
Point (28.18669999999999831 39.9018999999999977),D03A132,ÇAYLAK DERESİ ÇAYLAK,39.9019,28.1867,48,54
Point (27.32999999999999829 39.22330000000000183),D04A021,ILYA D. ÇALTIKORU,39.2233,27.33,100,118
Point (27.33060000000000045 39.21860000000000213),D04A026,YORTANLI D. PAŞAILICASI,39.2186,27.3306,85,101
Point (27.01749999999999829 39.44579999999999842),D04A016,KARADERE BAHADINLI,39.4458,27.0175,87,126
Point (26.99279999999999902 39.43970000000000198),D04A017,KARINCA DERE REŞİTKÖY,39.4397,26.9928,83,112
Point (26.28669999999999973 39.52530000000000143),D04A032,TUZLA ÇAYI KORUBAŞİ,39.5253,26.2867,75,312
Point (26.45029999999999859 39.66420000000000101),D04A035,KOCADERE MİSVAK,39.6642,26.4503,135,43
Point (26.41689999999999827 39.58639999999999759),D04A028,TUZLA ÇAYI AYVACİK,39.5864,26.4169,234,173
Point (27.0619000000000014 39.61889999999999645),D04A031,EYBEK DERESİ ÇAMCI,39.6189,27.0619,80,25
Point (28.96669999999999945 40.11670000000000158),D03G077,Doganci Brj. Göl Gözlem,40.1167,28.9667,312,450
Point (29.61670000000000158 39.41669999999999874),D03G080,Kayabogazi Brj. Göl Gözlem,39.4167,29.6167,2,2
Point (29.31670000000000087 40.216700000000003),D03G037,Gölbasi G. Göl Gözlem,40.2167,29.3167,120,64
Point (28.04889999999999972 40.13110000000000355),D03G047,MANYAS GÖLÜ - ERGİLI REGÜLATÖRÜ,40.1311,28.0489,13.55,3049
Point (27.98529999999999873 40.24029999999999774),D03G124,MANYAS GÖLÜ BEREKETLİ-ESKI BALIKHANE,40.2403,27.9853,14.5,3351.8
Point (26.81640000000000157 39.21640000000000015),D04A013,MADRA ÇAYI SELİMİYE,39.2164,26.8164,24,426
Point (29.58330000000000126 39.16669999999999874),D03G097,Çavdarhisar Brj. Göl Gözlem,39.1667,29.5833,1067,2
Point (28.61250000000000071 40.18580000000000041),D03G114,Ulubat G. Göl Göz.(Eskikaraagaç),40.1858,28.6125,2,10
Point (30.44140000000000157 41.0508000000000024),D12A218,KOCA D. DOKUZOLUK,41.0508,30.4414,10,72
Point (30.44170000000000087 41.05190000000000339),D12A218,KOCADERE DOKUZOLUK,41.0519,30.4417,10,72
Point (31.16079999999999828 39.68860000000000099),D12A215,PORSUK Ç. PARSİBEY,39.6886,31.1608,750,867.1
Point (30.44109999999999872 41.0508000000000024),D12A218,KOCA D. DOKUZOLUK,41.0508,30.4411,10,72
Point (30.26279999999999859 41.00580000000000069),D12A219,ANADERE ŞAHTIMARI,41.0058,30.2628,52,70
Point (32.08330000000000126 39.863900000000001),D12A223,ANKARA Ç. SARIOBA KÖPRÜSÜ,39.8639,32.0833,667,6890
Point (30.26249999999999929 41.0046999999999997),D12A219,ANADERE ŞAHTIMARI,41.0047,30.2625,52,70
Point (30.26279999999999859 41.0046999999999997),D12A219,ANADERE ŞAHTIMARI,41.0047,30.2628,52,70
Point (30.64280000000000115 41.06360000000000099),D12A197,DARİÇAYIR D. KARAPİNAR,41.0636,30.6428,780,99
Point (30.79439999999999955 39.20640000000000214),D12A205,KAYI GÖLETİ DOLUSAVAK ÇIKIŞI,39.2064,30.7944,1155,19
Point (30.56670000000000087 39.25),D12A194,HARAMİ D. KARAÖREN,39.25,30.5667,1540,712
Point (30.63469999999999871 41.05919999999999703),D12A197,DARIÇAYIR D. KARAPINAR,41.0592,30.6347,5,100
